epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.669,0.81459,2.97943,1.41718,0.46931,0.42515,0.50295,0.44833,0.49289,2.6139,1.02496,5.001e-05,5.001e-05,5.001e-05
2,21.9864,0.76544,2.44847,1.28869,0.75186,0.67388,0.69248,0.60434,0.49772,2.1034,1.04823,0.000115535,0.000115535,0.000115535
3,32.4965,1.0106,2.11977,1.50653,0.66483,0.66396,0.75157,0.61509,0.61829,1.72493,1.16032,0.000179739,0.000179739,0.000179739
4,42.4907,1.10102,2.18615,1.65903,0.67324,0.75478,0.74484,0.47959,1.11751,2.00238,1.60381,0.000242624,0.000242624,0.000242624
5,52.049,0.98528,1.69264,1.27463,0.37919,0.48913,0.37395,0.17441,1.69804,3.27315,2.54032,0.000304187,0.000304187,0.000304187
6,61.3602,0.98499,1.56292,1.38473,0.48222,0.43357,0.39799,0.20641,1.61667,3.2031,2.40792,0.000364431,0.000364431,0.000364431
7,70.8168,1.00843,1.59552,1.38328,0.25114,0.32488,0.15492,0.04275,2.32347,3.43366,2.94106,0.000423355,0.000423355,0.000423355
8,80.0947,1.04509,1.51903,1.33633,0.09449,0.19807,0.11704,0.06103,1.85047,3.13251,2.59769,0.000480958,0.000480958,0.000480958
9,89.6833,1.0196,1.67649,1.43515,0.27746,0.3041,0.24484,0.0922,2.04511,2.9226,3.32169,0.000537241,0.000537241,0.000537241
10,99.4348,1.14864,1.97043,1.53694,0.11977,0.15459,0.11635,0.0383,1.95172,3.39908,3.7401,0.000592203,0.000592203,0.000592203
11,108.997,1.67278,2.39304,2.04822,0.06963,0.3587,0.07146,0.03248,1.87852,4.71429,3.18499,0.000645846,0.000645846,0.000645846
12,118.422,1.19753,1.87212,1.48622,0.15014,0.38406,0.13416,0.0869,1.87393,6.07386,3.4016,0.000698168,0.000698168,0.000698168
13,127.77,1.20987,1.56229,1.39134,0.12773,0.38164,0.1225,0.04264,2.39324,12.7834,5.77963,0.00074917,0.00074917,0.00074917
14,137.201,1.22966,2.08429,1.53714,0.10088,0.30676,0.12773,0.05525,2.51615,23.2808,4.99584,0.000798851,0.000798851,0.000798851
15,146.64,1.22691,1.84762,1.46369,0.05195,0.31643,0.03899,0.01203,2.37042,20.6224,5.60999,0.000847213,0.000847213,0.000847213
16,155.601,1.16587,1.71078,1.45054,0.05195,0.31643,0.03899,0.01203,2.37042,20.6224,5.60999,0.000894254,0.000894254,0.000894254
17,164.867,1.34998,1.60195,1.69334,0.0302,0.55797,0.02812,0.01319,2.52528,86.7429,9.5122,0.000939975,0.000939975,0.000939975
18,174.297,2.13126,3.04416,2.35796,0.0077,0.54227,0.01096,0.00254,3.40112,175.977,20.019,0.000984375,0.000984375,0.000984375
19,183.19,1.69824,2.02233,1.94454,0.0077,0.54227,0.01096,0.00254,3.40112,175.977,20.019,0.00102746,0.00102746,0.00102746
20,192.534,1.22276,1.56219,1.5226,0.01103,0.29469,0.0088,0.00202,3.39516,45.9035,12.9441,0.00106922,0.00106922,0.00106922
21,202.051,1.53939,1.82678,1.69697,0.51786,0.02174,0.01151,0.003,3.48085,55.5148,6.79466,0.00110966,0.00110966,0.00110966
22,210.89,1.55694,1.63047,1.6344,0.51786,0.02174,0.01151,0.003,3.48085,55.5148,6.79466,0.00114877,0.00114877,0.00114877
23,220.368,1.51072,1.82965,1.85667,0.02326,0.08696,0.01578,0.00528,2.93971,169.537,8.27732,0.00118657,0.00118657,0.00118657
24,229.766,1.42844,1.7541,1.61672,0.02326,0.08696,0.01578,0.00528,2.93971,169.537,8.27732,0.00122305,0.00122305,0.00122305
25,239.063,1.4577,1.65426,1.66498,0.03736,0.35628,0.02862,0.0086,2.70745,33.2455,5.9844,0.00125821,0.00125821,0.00125821
26,248.174,1.27183,1.67786,1.46292,0.03736,0.35628,0.02862,0.0086,2.70745,33.2455,5.9844,0.00125442,0.00125442,0.00125442
27,257.175,1.41835,1.57802,1.57187,0.03571,0.1087,0.03001,0.00578,3.78569,61.3899,9.54772,0.00123791,0.00123791,0.00123791
28,266.284,1.61687,1.73332,1.72667,0.03571,0.1087,0.03001,0.00578,3.78569,61.3899,9.54772,0.00122141,0.00122141,0.00122141
29,275.326,1.36505,1.58524,1.6163,0.04839,0.13043,0.03343,0.00761,3.86707,40.9359,12.4368,0.00120491,0.00120491,0.00120491
30,284.641,1.26052,1.6344,1.47483,0.04839,0.13043,0.03343,0.00761,3.86707,40.9359,12.4368,0.0011884,0.0011884,0.0011884
31,294.746,1.53432,1.84541,1.71691,0.14906,0.33092,0.15023,0.04576,3.12892,7.75545,5.70032,0.0011719,0.0011719,0.0011719
32,304.038,1.61263,2.15501,1.82035,0.14906,0.33092,0.15023,0.04576,3.12892,7.75545,5.70032,0.0011554,0.0011554,0.0011554
33,313.353,1.36634,1.44956,1.40317,0.27818,0.21014,0.10337,0.03192,2.7921,5.39191,3.81085,0.00113889,0.00113889,0.00113889
34,322.321,1.07526,1.69475,1.41437,0.27818,0.21014,0.10337,0.03192,2.7921,5.39191,3.81085,0.00112239,0.00112239,0.00112239
35,331.453,1.09389,1.31196,1.34215,0.45711,0.35266,0.31926,0.09803,2.51376,8.68086,4.16564,0.00110589,0.00110589,0.00110589
36,340.381,1.20734,1.40741,1.39628,0.45711,0.35266,0.31926,0.09803,2.51376,8.68086,4.16564,0.00108938,0.00108938,0.00108938
37,349.626,1.50321,1.61136,1.84899,0.38912,0.45894,0.40829,0.19166,2.06414,5.70977,3.59116,0.00107288,0.00107288,0.00107288
38,358.754,1.1443,1.31299,1.47305,0.38912,0.45894,0.40829,0.19166,2.06414,5.70977,3.59116,0.00105638,0.00105638,0.00105638
39,368.042,1.17663,1.28004,1.40521,0.66265,0.26087,0.23693,0.09444,1.90096,5.12607,2.58742,0.00103987,0.00103987,0.00103987
40,377.303,1.18234,1.68029,1.41359,0.66265,0.26087,0.23693,0.09444,1.90096,5.12607,2.58742,0.00102337,0.00102337,0.00102337
41,386.796,1.07918,1.19997,1.35758,0.65387,0.32609,0.22998,0.10007,1.92663,7.13701,2.59359,0.00100687,0.00100687,0.00100687
42,396.466,1.15746,1.46335,1.55133,0.65387,0.32609,0.22998,0.10007,1.92663,7.13701,2.59359,0.000990365,0.000990365,0.000990365
43,405.715,1.07236,1.23401,1.36411,0.73045,0.26087,0.21554,0.11002,1.95904,4.94852,2.69491,0.000973861,0.000973861,0.000973861
44,414.912,1.04298,1.09788,1.26402,0.73045,0.26087,0.21554,0.11002,1.95904,4.94852,2.69491,0.000957358,0.000957358,0.000957358
45,424.006,1.309,1.26835,1.49078,0.50416,0.24517,0.19701,0.08226,1.94158,5.75903,2.7913,0.000940855,0.000940855,0.000940855
46,432.809,1.42527,1.15893,1.79265,0.50416,0.24517,0.19701,0.08226,1.94158,5.75903,2.7913,0.000924352,0.000924352,0.000924352
47,441.934,1.02705,1.49947,1.36882,0.57464,0.55072,0.54521,0.28576,1.90856,3.58221,2.83271,0.000907848,0.000907848,0.000907848
48,450.787,0.92324,1.22126,1.29154,0.57464,0.55072,0.54521,0.28576,1.90856,3.58221,2.83271,0.000891345,0.000891345,0.000891345
49,459.847,1.00833,1.06409,1.40826,0.79563,0.54758,0.60363,0.31708,1.77914,3.01893,2.51254,0.000874842,0.000874842,0.000874842
50,469.319,1.01793,1.2628,1.34655,0.79563,0.54758,0.60363,0.31708,1.77914,3.01893,2.51254,0.000858338,0.000858338,0.000858338
51,478.608,1.12644,1.11818,1.41542,0.44641,0.39636,0.36679,0.1835,1.98679,3.4406,2.60845,0.000841835,0.000841835,0.000841835
52,487.644,1.03955,1.10817,1.38606,0.44641,0.39636,0.36679,0.1835,1.98679,3.4406,2.60845,0.000825332,0.000825332,0.000825332
53,496.751,1.14514,1.18229,1.62024,0.26712,0.30676,0.18456,0.09574,2.06441,3.76086,2.42191,0.000808828,0.000808828,0.000808828
54,505.728,0.99249,1.04945,1.29346,0.26712,0.30676,0.18456,0.09574,2.06441,3.76086,2.42191,0.000792325,0.000792325,0.000792325
55,515.11,1.13937,1.53996,1.76011,0.25614,0.30072,0.22678,0.11976,2.3535,4.28053,2.59041,0.000775822,0.000775822,0.000775822
56,524.108,0.95753,1.16356,1.34392,0.25614,0.30072,0.22678,0.11976,2.3535,4.28053,2.59041,0.000759318,0.000759318,0.000759318
57,533.057,0.95608,1.34933,1.36349,0.56389,0.38676,0.41578,0.17756,2.26729,3.82304,2.54077,0.000742815,0.000742815,0.000742815
58,542.145,0.9916,1.1638,1.31468,0.56389,0.38676,0.41578,0.17756,2.26729,3.82304,2.54077,0.000726312,0.000726312,0.000726312
59,551.277,1.22254,1.01838,1.50365,0.63972,0.57246,0.50525,0.21866,1.942,3.25256,2.46123,0.000709809,0.000709809,0.000709809
60,560.249,0.884,0.8166,1.25387,0.63972,0.57246,0.50525,0.21866,1.942,3.25256,2.46123,0.000693305,0.000693305,0.000693305
61,569.464,0.80957,0.8652,1.199,0.56663,0.52295,0.56241,0.25005,1.77465,2.72911,2.21867,0.000676802,0.000676802,0.000676802
62,578.575,1.06473,1.03926,1.37987,0.56663,0.52295,0.56241,0.25005,1.77465,2.72911,2.21867,0.000660299,0.000660299,0.000660299
63,588.137,0.84724,0.78398,1.18693,0.59053,0.72101,0.61084,0.26668,1.78364,1.96184,2.39964,0.000643795,0.000643795,0.000643795
64,597.236,0.81552,0.91515,1.15076,0.59053,0.72101,0.61084,0.26668,1.78364,1.96184,2.39964,0.000627292,0.000627292,0.000627292
65,606.558,0.93729,1.33444,1.30712,0.49185,0.60589,0.50164,0.24004,1.87189,1.76206,2.62669,0.000610789,0.000610789,0.000610789
66,615.616,0.90203,1.04334,1.21991,0.49185,0.60589,0.50164,0.24004,1.87189,1.76206,2.62669,0.000594286,0.000594286,0.000594286
67,624.697,0.86949,0.99279,1.21447,0.50904,0.54831,0.45392,0.20867,1.77988,2.14194,2.46518,0.000577782,0.000577782,0.000577782
68,633.786,0.77654,0.84219,1.15408,0.50904,0.54831,0.45392,0.20867,1.77988,2.14194,2.46518,0.000561279,0.000561279,0.000561279
69,643.014,1.12084,0.91306,1.62866,0.62986,0.57005,0.52357,0.28054,1.50466,1.92283,2.09761,0.000544776,0.000544776,0.000544776
70,651.837,0.78303,1.04058,1.25706,0.62986,0.57005,0.52357,0.28054,1.50466,1.92283,2.09761,0.000528272,0.000528272,0.000528272
71,660.952,0.60257,0.62316,1.05583,0.62645,0.56039,0.56902,0.34038,1.50581,1.76459,2.10701,0.000511769,0.000511769,0.000511769
72,670.54,1.09763,1.16191,1.49385,0.62645,0.56039,0.56902,0.34038,1.50581,1.76459,2.10701,0.000495266,0.000495266,0.000495266
73,679.881,0.84429,0.88894,1.18334,0.70112,0.5942,0.67199,0.39541,1.41982,1.62917,1.9968,0.000478762,0.000478762,0.000478762
74,689.252,0.71969,0.83237,1.12836,0.70112,0.5942,0.67199,0.39541,1.41982,1.62917,1.9968,0.000462259,0.000462259,0.000462259
75,698.967,0.91748,1.0968,1.29013,0.47472,0.81401,0.69599,0.43064,1.27164,1.63197,1.84474,0.000445756,0.000445756,0.000445756
76,707.99,0.78909,1.0268,1.22873,0.47472,0.81401,0.69599,0.43064,1.27164,1.63197,1.84474,0.000429253,0.000429253,0.000429253
77,717.095,0.88129,0.84387,1.28446,0.58698,0.70224,0.68061,0.41645,1.27596,1.58129,1.82581,0.000412749,0.000412749,0.000412749
78,726.057,0.79294,1.05712,1.15698,0.58698,0.70224,0.68061,0.41645,1.27596,1.58129,1.82581,0.000396246,0.000396246,0.000396246
